{Acanthoscurria_cioides, Pterocles_rufus} {Bradypodion_grunniens, Nyroca_monedula}
{Ophisops_mysticetus, Oxyura_medici} {Phoca_bimaculata, Pterocles_rufus}
{Ethmostigmus_salamandra, Ophisops_mysticetus} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Ethmostigmus_salamandra, Ophisops_mysticetus} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Ethmostigmus_salamandra, Ophisops_mysticetus} {Lampropeltis_subglobosa, Pterocles_rufus}
{Ethmostigmus_salamandra, Oxyura_medici} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Ethmostigmus_salamandra, Oxyura_medici} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Ethmostigmus_salamandra, Oxyura_medici} {Lampropeltis_subglobosa, Pterocles_rufus}
{Ethmostigmus_salamandra, Phoca_bimaculata} {Bradypodion_grunniens, Holaspis_subcinctus}
{Ethmostigmus_salamandra, Phoca_bimaculata} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Ethmostigmus_salamandra, Phoca_bimaculata} {Bradypodion_grunniens, Pterocles_rufus}
{Ethmostigmus_salamandra, Phoca_bimaculata} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Ethmostigmus_salamandra, Phoca_bimaculata} {Holaspis_subcinctus, Pterocles_rufus}
{Ethmostigmus_salamandra, Phoca_bimaculata} {Lampropeltis_subglobosa, Pterocles_rufus}
{Ethmostigmus_salamandra, Ptyodactylus_valliceps} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Ethmostigmus_salamandra, Ptyodactylus_valliceps} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Ethmostigmus_salamandra, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Pterocles_rufus}
{Gallinago_leporosum, Ophisops_mysticetus} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Gallinago_leporosum, Oxyura_medici} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Gallinago_leporosum, Phoca_bimaculata} {Bradypodion_grunniens, Holaspis_subcinctus}
{Gallinago_leporosum, Phoca_bimaculata} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Gallinago_leporosum, Phoca_bimaculata} {Bradypodion_grunniens, Pterocles_rufus}
{Gallinago_leporosum, Ptyodactylus_valliceps} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Ophisops_mysticetus, Phoca_bimaculata} {Bradypodion_grunniens, Holaspis_subcinctus}
{Ophisops_mysticetus, Phoca_bimaculata} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Ophisops_mysticetus, Phoca_bimaculata} {Bradypodion_grunniens, Pterocles_rufus}
{Ophisops_mysticetus, Ptyodactylus_valliceps} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Oxyura_medici, Phoca_bimaculata} {Bradypodion_grunniens, Holaspis_subcinctus}
{Oxyura_medici, Phoca_bimaculata} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Oxyura_medici, Phoca_bimaculata} {Bradypodion_grunniens, Pterocles_rufus}
{Oxyura_medici, Ptyodactylus_valliceps} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Bradypodion_grunniens, Holaspis_subcinctus}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Bradypodion_grunniens, Lampropeltis_subglobosa}
{Phoca_bimaculata, Ptyodactylus_valliceps} {Bradypodion_grunniens, Pterocles_rufus}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Bradypodion_grunniens, Phoca_bimaculata}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Bradypodion_grunniens, Ptyodactylus_valliceps}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Holaspis_subcinctus, Phoca_bimaculata}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Holaspis_subcinctus, Ptyodactylus_valliceps}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Holaspis_subcinctus, Rangifer_nigrolineatus}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Phoca_bimaculata, Ptyodactylus_valliceps}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Phoca_bimaculata, Rangifer_nigrolineatus}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Phoca_bimaculata, Trapelus_mexicana}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Ptyodactylus_valliceps, Rangifer_nigrolineatus}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Ptyodactylus_valliceps, Trapelus_mexicana}
{Opheodrys_fimbriatus, Ophisops_mysticetus} {Rangifer_nigrolineatus, Trapelus_mexicana}
{Opheodrys_fimbriatus, Oxyura_medici} {Holaspis_subcinctus, Rangifer_nigrolineatus}
{Opheodrys_fimbriatus, Oxyura_medici} {Phoca_bimaculata, Rangifer_nigrolineatus}
{Opheodrys_fimbriatus, Oxyura_medici} {Ptyodactylus_valliceps, Rangifer_nigrolineatus}
{Opheodrys_fimbriatus, Oxyura_medici} {Rangifer_nigrolineatus, Trapelus_mexicana}
{Ophisops_mysticetus, Oxyura_medici} {Holaspis_subcinctus, Rangifer_nigrolineatus}
{Ophisops_mysticetus, Oxyura_medici} {Phoca_bimaculata, Rangifer_nigrolineatus}
{Ophisops_mysticetus, Oxyura_medici} {Phoca_bimaculata, Trapelus_mexicana}
{Ophisops_mysticetus, Oxyura_medici} {Ptyodactylus_valliceps, Rangifer_nigrolineatus}
{Ophisops_mysticetus, Oxyura_medici} {Ptyodactylus_valliceps, Trapelus_mexicana}
{Ophisops_mysticetus, Oxyura_medici} {Rangifer_nigrolineatus, Trapelus_mexicana}
{Allobates_similis, Ardea_macrops} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Allobates_similis, Ardea_macrops} {Holaspis_subcinctus, Trapelus_mexicana}
{Allobates_similis, Ardea_macrops} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Allobates_similis, Ardea_macrops} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Allobates_similis, Ardea_macrops} {Nyctixalus_stagnalis, Pterocles_rufus}
{Allobates_similis, Ardea_macrops} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Allobates_similis, Ardea_macrops} {Pterocles_rufus, Trapelus_mexicana}
{Allobates_similis, Bradypodion_grunniens} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Allobates_similis, Bradypodion_grunniens} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Allobates_similis, Bradypodion_grunniens} {Holaspis_subcinctus, Pterocles_rufus}
{Allobates_similis, Bradypodion_grunniens} {Holaspis_subcinctus, Trapelus_mexicana}
{Allobates_similis, Bradypodion_grunniens} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Allobates_similis, Bradypodion_grunniens} {Lampropeltis_subglobosa, Pterocles_rufus}
{Allobates_similis, Bradypodion_grunniens} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Allobates_similis, Bradypodion_grunniens} {Nyctixalus_stagnalis, Pterocles_rufus}
{Allobates_similis, Bradypodion_grunniens} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Allobates_similis, Bradypodion_grunniens} {Pterocles_rufus, Trapelus_mexicana}
{Allobates_similis, Chlamydotis_nelsonii} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Allobates_similis, Chlamydotis_nelsonii} {Holaspis_subcinctus, Trapelus_mexicana}
{Allobates_similis, Chlamydotis_nelsonii} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Allobates_similis, Chlamydotis_nelsonii} {Nyctixalus_stagnalis, Pterocles_rufus}
{Allobates_similis, Chlamydotis_nelsonii} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Allobates_similis, Chlamydotis_nelsonii} {Pterocles_rufus, Trapelus_mexicana}
{Allobates_similis, Gallinago_leporosum} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Allobates_similis, Gallinago_leporosum} {Holaspis_subcinctus, Trapelus_mexicana}
{Allobates_similis, Gallinago_leporosum} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Allobates_similis, Gallinago_leporosum} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Allobates_similis, Gallinago_leporosum} {Nyctixalus_stagnalis, Pterocles_rufus}
{Allobates_similis, Gallinago_leporosum} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Allobates_similis, Gallinago_leporosum} {Pterocles_rufus, Trapelus_mexicana}
{Allobates_similis, Opheodrys_fimbriatus} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Allobates_similis, Opheodrys_fimbriatus} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Allobates_similis, Opheodrys_fimbriatus} {Holaspis_subcinctus, Pterocles_rufus}
{Allobates_similis, Opheodrys_fimbriatus} {Holaspis_subcinctus, Trapelus_mexicana}
{Allobates_similis, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Allobates_similis, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Pterocles_rufus}
{Allobates_similis, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Allobates_similis, Opheodrys_fimbriatus} {Nyctixalus_stagnalis, Pterocles_rufus}
{Allobates_similis, Opheodrys_fimbriatus} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Allobates_similis, Opheodrys_fimbriatus} {Pterocles_rufus, Trapelus_mexicana}
{Allobates_similis, Ophisops_mysticetus} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Allobates_similis, Ophisops_mysticetus} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Allobates_similis, Ophisops_mysticetus} {Holaspis_subcinctus, Pterocles_rufus}
{Allobates_similis, Ophisops_mysticetus} {Holaspis_subcinctus, Trapelus_mexicana}
{Allobates_similis, Ophisops_mysticetus} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Allobates_similis, Ophisops_mysticetus} {Lampropeltis_subglobosa, Pterocles_rufus}
{Allobates_similis, Ophisops_mysticetus} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Allobates_similis, Ophisops_mysticetus} {Nyctixalus_stagnalis, Pterocles_rufus}
{Allobates_similis, Ophisops_mysticetus} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Allobates_similis, Ophisops_mysticetus} {Pterocles_rufus, Trapelus_mexicana}
{Allobates_similis, Oxyura_medici} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Allobates_similis, Oxyura_medici} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Allobates_similis, Oxyura_medici} {Holaspis_subcinctus, Pterocles_rufus}
{Allobates_similis, Oxyura_medici} {Holaspis_subcinctus, Trapelus_mexicana}
{Allobates_similis, Oxyura_medici} {Lampropeltis_subglobosa, Pterocles_rufus}
{Allobates_similis, Oxyura_medici} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Allobates_similis, Oxyura_medici} {Nyctixalus_stagnalis, Pterocles_rufus}
{Allobates_similis, Oxyura_medici} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Allobates_similis, Oxyura_medici} {Pterocles_rufus, Trapelus_mexicana}
{Allobates_similis, Phoca_bimaculata} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Allobates_similis, Phoca_bimaculata} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Allobates_similis, Phoca_bimaculata} {Holaspis_subcinctus, Pterocles_rufus}
{Allobates_similis, Phoca_bimaculata} {Holaspis_subcinctus, Trapelus_mexicana}
{Allobates_similis, Phoca_bimaculata} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Allobates_similis, Phoca_bimaculata} {Lampropeltis_subglobosa, Pterocles_rufus}
{Allobates_similis, Phoca_bimaculata} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Allobates_similis, Phoca_bimaculata} {Nyctixalus_stagnalis, Pterocles_rufus}
{Allobates_similis, Phoca_bimaculata} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Allobates_similis, Phoca_bimaculata} {Pterocles_rufus, Trapelus_mexicana}
{Allobates_similis, Ptyodactylus_valliceps} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Allobates_similis, Ptyodactylus_valliceps} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Allobates_similis, Ptyodactylus_valliceps} {Holaspis_subcinctus, Pterocles_rufus}
{Allobates_similis, Ptyodactylus_valliceps} {Holaspis_subcinctus, Trapelus_mexicana}
{Allobates_similis, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Pterocles_rufus}
{Allobates_similis, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Allobates_similis, Ptyodactylus_valliceps} {Nyctixalus_stagnalis, Pterocles_rufus}
{Allobates_similis, Ptyodactylus_valliceps} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Allobates_similis, Ptyodactylus_valliceps} {Pterocles_rufus, Trapelus_mexicana}
{Ardea_macrops, Bradypodion_grunniens} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Ardea_macrops, Bradypodion_grunniens} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Ardea_macrops, Bradypodion_grunniens} {Holaspis_subcinctus, Pterocles_rufus}
{Ardea_macrops, Bradypodion_grunniens} {Holaspis_subcinctus, Trapelus_mexicana}
{Ardea_macrops, Bradypodion_grunniens} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Ardea_macrops, Bradypodion_grunniens} {Lampropeltis_subglobosa, Pterocles_rufus}
{Ardea_macrops, Bradypodion_grunniens} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Ardea_macrops, Bradypodion_grunniens} {Nyctixalus_stagnalis, Pterocles_rufus}
{Ardea_macrops, Bradypodion_grunniens} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Ardea_macrops, Bradypodion_grunniens} {Pterocles_rufus, Trapelus_mexicana}
{Ardea_macrops, Chlamydotis_nelsonii} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Ardea_macrops, Chlamydotis_nelsonii} {Holaspis_subcinctus, Trapelus_mexicana}
{Ardea_macrops, Chlamydotis_nelsonii} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Ardea_macrops, Chlamydotis_nelsonii} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Ardea_macrops, Chlamydotis_nelsonii} {Nyctixalus_stagnalis, Pterocles_rufus}
{Ardea_macrops, Chlamydotis_nelsonii} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Ardea_macrops, Chlamydotis_nelsonii} {Pterocles_rufus, Trapelus_mexicana}
{Ardea_macrops, Gallinago_leporosum} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Ardea_macrops, Gallinago_leporosum} {Holaspis_subcinctus, Trapelus_mexicana}
{Ardea_macrops, Gallinago_leporosum} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Ardea_macrops, Gallinago_leporosum} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Ardea_macrops, Gallinago_leporosum} {Nyctixalus_stagnalis, Pterocles_rufus}
{Ardea_macrops, Gallinago_leporosum} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Ardea_macrops, Gallinago_leporosum} {Pterocles_rufus, Trapelus_mexicana}
{Ardea_macrops, Opheodrys_fimbriatus} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Ardea_macrops, Opheodrys_fimbriatus} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Ardea_macrops, Opheodrys_fimbriatus} {Holaspis_subcinctus, Pterocles_rufus}
{Ardea_macrops, Opheodrys_fimbriatus} {Holaspis_subcinctus, Trapelus_mexicana}
{Ardea_macrops, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Ardea_macrops, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Pterocles_rufus}
{Ardea_macrops, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Ardea_macrops, Opheodrys_fimbriatus} {Nyctixalus_stagnalis, Pterocles_rufus}
{Ardea_macrops, Opheodrys_fimbriatus} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Ardea_macrops, Opheodrys_fimbriatus} {Pterocles_rufus, Trapelus_mexicana}
{Ardea_macrops, Ophisops_mysticetus} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Ardea_macrops, Ophisops_mysticetus} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Ardea_macrops, Ophisops_mysticetus} {Holaspis_subcinctus, Pterocles_rufus}
{Ardea_macrops, Ophisops_mysticetus} {Holaspis_subcinctus, Trapelus_mexicana}
{Ardea_macrops, Ophisops_mysticetus} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Ardea_macrops, Ophisops_mysticetus} {Lampropeltis_subglobosa, Pterocles_rufus}
{Ardea_macrops, Ophisops_mysticetus} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Ardea_macrops, Ophisops_mysticetus} {Nyctixalus_stagnalis, Pterocles_rufus}
{Ardea_macrops, Ophisops_mysticetus} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Ardea_macrops, Ophisops_mysticetus} {Pterocles_rufus, Trapelus_mexicana}
{Ardea_macrops, Oxyura_medici} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Ardea_macrops, Oxyura_medici} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Ardea_macrops, Oxyura_medici} {Holaspis_subcinctus, Pterocles_rufus}
{Ardea_macrops, Oxyura_medici} {Holaspis_subcinctus, Trapelus_mexicana}
{Ardea_macrops, Oxyura_medici} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Ardea_macrops, Oxyura_medici} {Lampropeltis_subglobosa, Pterocles_rufus}
{Ardea_macrops, Oxyura_medici} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Ardea_macrops, Oxyura_medici} {Nyctixalus_stagnalis, Pterocles_rufus}
{Ardea_macrops, Oxyura_medici} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Ardea_macrops, Oxyura_medici} {Pterocles_rufus, Trapelus_mexicana}
{Ardea_macrops, Phoca_bimaculata} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Ardea_macrops, Phoca_bimaculata} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Ardea_macrops, Phoca_bimaculata} {Holaspis_subcinctus, Pterocles_rufus}
{Ardea_macrops, Phoca_bimaculata} {Holaspis_subcinctus, Trapelus_mexicana}
{Ardea_macrops, Phoca_bimaculata} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Ardea_macrops, Phoca_bimaculata} {Lampropeltis_subglobosa, Pterocles_rufus}
{Ardea_macrops, Phoca_bimaculata} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Ardea_macrops, Phoca_bimaculata} {Nyctixalus_stagnalis, Pterocles_rufus}
{Ardea_macrops, Phoca_bimaculata} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Ardea_macrops, Phoca_bimaculata} {Pterocles_rufus, Trapelus_mexicana}
{Ardea_macrops, Ptyodactylus_valliceps} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Ardea_macrops, Ptyodactylus_valliceps} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Ardea_macrops, Ptyodactylus_valliceps} {Holaspis_subcinctus, Pterocles_rufus}
{Ardea_macrops, Ptyodactylus_valliceps} {Holaspis_subcinctus, Trapelus_mexicana}
{Ardea_macrops, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Ardea_macrops, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Pterocles_rufus}
{Ardea_macrops, Ptyodactylus_valliceps} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Ardea_macrops, Ptyodactylus_valliceps} {Nyctixalus_stagnalis, Pterocles_rufus}
{Ardea_macrops, Ptyodactylus_valliceps} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Ardea_macrops, Ptyodactylus_valliceps} {Pterocles_rufus, Trapelus_mexicana}
{Bradypodion_grunniens, Chlamydotis_nelsonii} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Bradypodion_grunniens, Chlamydotis_nelsonii} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Chlamydotis_nelsonii} {Holaspis_subcinctus, Pterocles_rufus}
{Bradypodion_grunniens, Chlamydotis_nelsonii} {Holaspis_subcinctus, Trapelus_mexicana}
{Bradypodion_grunniens, Chlamydotis_nelsonii} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Chlamydotis_nelsonii} {Lampropeltis_subglobosa, Pterocles_rufus}
{Bradypodion_grunniens, Chlamydotis_nelsonii} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Bradypodion_grunniens, Chlamydotis_nelsonii} {Nyctixalus_stagnalis, Pterocles_rufus}
{Bradypodion_grunniens, Chlamydotis_nelsonii} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Bradypodion_grunniens, Chlamydotis_nelsonii} {Pterocles_rufus, Trapelus_mexicana}
{Bradypodion_grunniens, Gallinago_leporosum} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Bradypodion_grunniens, Gallinago_leporosum} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Gallinago_leporosum} {Holaspis_subcinctus, Pterocles_rufus}
{Bradypodion_grunniens, Gallinago_leporosum} {Holaspis_subcinctus, Trapelus_mexicana}
{Bradypodion_grunniens, Gallinago_leporosum} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Gallinago_leporosum} {Lampropeltis_subglobosa, Pterocles_rufus}
{Bradypodion_grunniens, Gallinago_leporosum} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Bradypodion_grunniens, Gallinago_leporosum} {Nyctixalus_stagnalis, Pterocles_rufus}
{Bradypodion_grunniens, Gallinago_leporosum} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Bradypodion_grunniens, Gallinago_leporosum} {Pterocles_rufus, Trapelus_mexicana}
{Bradypodion_grunniens, Opheodrys_fimbriatus} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Bradypodion_grunniens, Opheodrys_fimbriatus} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Opheodrys_fimbriatus} {Holaspis_subcinctus, Pterocles_rufus}
{Bradypodion_grunniens, Opheodrys_fimbriatus} {Holaspis_subcinctus, Trapelus_mexicana}
{Bradypodion_grunniens, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Pterocles_rufus}
{Bradypodion_grunniens, Opheodrys_fimbriatus} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Bradypodion_grunniens, Opheodrys_fimbriatus} {Nyctixalus_stagnalis, Pterocles_rufus}
{Bradypodion_grunniens, Opheodrys_fimbriatus} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Bradypodion_grunniens, Opheodrys_fimbriatus} {Pterocles_rufus, Trapelus_mexicana}
{Bradypodion_grunniens, Ophisops_mysticetus} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Bradypodion_grunniens, Ophisops_mysticetus} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Ophisops_mysticetus} {Holaspis_subcinctus, Pterocles_rufus}
{Bradypodion_grunniens, Ophisops_mysticetus} {Holaspis_subcinctus, Trapelus_mexicana}
{Bradypodion_grunniens, Ophisops_mysticetus} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Ophisops_mysticetus} {Lampropeltis_subglobosa, Pterocles_rufus}
{Bradypodion_grunniens, Ophisops_mysticetus} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Bradypodion_grunniens, Ophisops_mysticetus} {Nyctixalus_stagnalis, Pterocles_rufus}
{Bradypodion_grunniens, Ophisops_mysticetus} {Nyctixalus_stagnalis, Trapelus_mexicana}
{Bradypodion_grunniens, Ophisops_mysticetus} {Pterocles_rufus, Trapelus_mexicana}
{Bradypodion_grunniens, Oxyura_medici} {Holaspis_subcinctus, Lampropeltis_subglobosa}
{Bradypodion_grunniens, Oxyura_medici} {Holaspis_subcinctus, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Oxyura_medici} {Holaspis_subcinctus, Pterocles_rufus}
{Bradypodion_grunniens, Oxyura_medici} {Holaspis_subcinctus, Trapelus_mexicana}
{Bradypodion_grunniens, Oxyura_medici} {Lampropeltis_subglobosa, Nyctixalus_stagnalis}
{Bradypodion_grunniens, Oxyura_medici} {Lampropeltis_subglobosa, Pterocles_rufus}
{Bradypodion_grunniens, Oxyura_medici} {Lampropeltis_subglobosa, Trapelus_mexicana}
{Bradypodion_grunniens, Oxyura_medici} {Nyctixalus_stagnalis, Pterocles_rufus}
{Bradypodion_grunniens, Oxyura_medici} {Nyctixalus_stagnalis, Trapelus_mexicana}
